streetNumber,streetName,streetType,suburb,postcode,state,geoLocation/latitude,geoLocation/longitude,propertyType,bedrooms,bathrooms,price,result,agent
169,Gipps,St,Abbotsford,3067,Vic,-37.8054352,144.9945933,House,2,1,1181000,AUSP,Jellis Craig Fitzroy
50,Etzel,St,Airport West,3042,Vic,-37.7208781,144.8741319,House,4,1,N/A,AUPI,Barry Plant Essendon
50,Fraser,St,Airport West,3042,Vic,-37.7238166,144.884876,Townhouse,2,1,635000,AUSD,Pagan Real Estate
68,Grange,Rd,Airport West,3042,Vic,-37.7288552,144.8844255,Townhouse,4,3,1300000,AUSP,Barry Plant Keilor East
22A,Highlands,Av,Airport West,3042,Vic,-37.721198,144.881371,House,3,2,N/A,AUVB,Jellis Craig Moonee Valley
29,Roberts,Rd,Airport West,3042,Vic,-37.7263592,144.8807936,House,3,1,N/A,AUPI,Barry Plant Essendon
153,Victory,Rd,Airport West,3042,Vic,-37.7174478,144.8782148,House,3,2,N/A,AUPI,Barry Plant Essendon
6,Camelot,Dr,Albanvale,3021,Vic,-37.7444846,144.7783488,House,3,1,630000,PTSD,Barry Plant St Albans
22,Greig,St,Albert Park,3206,Vic,-37.8412539,144.9500203,House,4,2,N/A,AUSD,Jellis Craig Port Phillip Pty Ltd
65,Kerferd,Rd,Albert Park,3206,Vic,-37.844545,144.9571827,House,5,3,5500000,AUSD,Jellis Craig Port Phillip Pty Ltd
125,Page,St,Albert Park,3206,Vic,-37.8477744,144.9561395,House,3,2,N/A,AUSD,Jellis Craig Port Phillip Pty Ltd
16,Purnell,St,Altona,3018,Vic,-37.8653962,144.8106794,House,7,3,N/A,AUPI,Ray White Altona
14,Romawi,St,Altona,3018,Vic,-37.8681707,144.8249965,Townhouse,3,2,986000,AUSD,Williams Real Estate
11,Baldwin,St,Armadale,3143,Vic,-37.8543813,145.0215858,House,2,1,N/A,AUPN,Marshall White Stonnington
13,Denbigh,Rd,Armadale,3143,Vic,-37.8590207,145.0152251,Unit,2,2,1025000,AUSD,Jellis Craig Stonnington
114,Kooyong,Rd,Armadale,3143,Vic,-37.8529545,145.021306,Unit,2,1,680000,AUVB,Jellis Craig Stonnington
40,Lambeth,Av,Armadale,3143,Vic,-37.8569481,145.0269783,House,4,2,4000000,AUVB,RT Edgar Toorak
48,New,St,Armadale,3143,Vic,-37.8543523,145.0162884,Unit,3,2,N/A,AUSP,Belle Property Armadale
8,Sutherland,Rd,Armadale,3143,Vic,-37.8603548,145.016922,Unit,2,2,700000,AUSD,Gary Peer
18,Angler,Pde,Ascot Vale,3032,Vic,-37.7793983,144.9005238,House,4,2,1750000,AUVB,Nelson Alexander Ascot Vale
12,Eden,Ct,Ascot Vale,3032,Vic,-37.7720777,144.9012116,House,3,1,N/A,AUVB,Woodards Ascot Vale
11,Regent,St,Ascot Vale,3032,Vic,-37.773617,144.9262359,House,2,1,1170000,AUSP,Woodards Ascot Vale
101,St Leonards,Rd,Ascot Vale,3032,Vic,-37.7738662,144.9131209,House,3,2,1601000,AUSD,Alexkarbon Real Estate
109,Union,Rd,Ascot Vale,3032,Vic,-37.7760549,144.9152868,House,3,2,1280000,AUSP,Nelson Alexander Ascot Vale
70,Nicholas,St,Ashburton,3147,Vic,-37.8734682,145.0743844,House,3,1,1835000,AUSP,Marshall White Stonnington
36,Victory,Bvd,Ashburton,3147,Vic,-37.8670803,145.0822036,House,4,3,N/A,AUPN,Marshall White Balwyn
