streetNumber,streetName,streetType,suburb,postcode,state,geoLocation/latitude,geoLocation/longitude,propertyType,bedrooms,bathrooms,carspaces,price,result,agent,id,agencyId,agencyName,agencyProfilePageUrl,propertyDetailsUrl,unitNumber
169,Gipps,St,Abbotsford,3067,Vic,-37.8054352,144.9945933,House,2,1,0,1181000,AUSP,Jellis Craig Fitzroy,2017796333,3709,Jellis Craig Fitzroy,https://www.domain.com.au/real-estate-agencies/jelliscraigfitzroy-3709,https://www.domain.com.au/169-gipps-street-abbotsford-vic-3067-2017796333,
50,Etzel,St,Airport West,3042,Vic,-37.7208781,144.8741319,House,4,1,1,,AUPI,Barry Plant Essendon,2017797204,4475,Barry Plant Essendon,https://www.domain.com.au/real-estate-agencies/barryplantessendon-4475,https://www.domain.com.au/50-etzel-street-airport-west-vic-3042-2017797204,
50,Fraser,St,Airport West,3042,Vic,-37.7238166,144.884876,Townhouse,2,1,1,635000,AUSD,Pagan Real Estate,2017782784,2795,Pagan Real Estate,https://www.domain.com.au/real-estate-agencies/paganrealestate,https://www.domain.com.au/5-50-fraser-street-airport-west-vic-3042-2017782784,5
68,Grange,Rd,Airport West,3042,Vic,-37.7288552,144.8844255,Townhouse,4,3,1,1300000,AUSP,Barry Plant Keilor East,2017786382,27626,Barry Plant Keilor East,https://www.domain.com.au/real-estate-agencies/barryplantkeiloreast-27626,https://www.domain.com.au/68-grange-road-airport-west-vic-3042-2017786382,
22A,Highlands,Av,Airport West,3042,Vic,-37.721198,144.881371,House,3,2,1,,AUVB,Jellis Craig Moonee Valley,2017786354,13365,Jellis Craig Moonee Valley,https://www.domain.com.au/real-estate-agencies/jelliscraigmooneevalley-13365,https://www.domain.com.au/22a-highlands-avenue-airport-west-vic-3042-2017786354,
29,Roberts,Rd,Airport West,3042,Vic,-37.7263592,144.8807936,House,3,1,1,,AUPI,Barry Plant Essendon,2017776391,4475,Barry Plant Essendon,https://www.domain.com.au/real-estate-agencies/barryplantessendon-4475,https://www.domain.com.au/29-roberts-road-airport-west-vic-3042-2017776391,
153,Victory,Rd,Airport West,3042,Vic,-37.7174478,144.8782148,House,3,2,1,,AUPI,Barry Plant Essendon,2017787294,4475,Barry Plant Essendon,https://www.domain.com.au/real-estate-agencies/barryplantessendon-4475,https://www.domain.com.au/153-victory-road-airport-west-vic-3042-2017787294,
6,Camelot,Dr,Albanvale,3021,Vic,-37.7444846,144.7783488,House,3,1,4,630000,PTSD,Barry Plant St Albans,2017784189,4690,Barry Plant St Albans,https://www.domain.com.au/real-estate-agencies/bpstalbans,https://www.domain.com.au/6-camelot-drive-albanvale-vic-3021-2017784189,
22,Greig,St,Albert Park,3206,Vic,-37.8412539,144.9500203,House,4,2,2,,AUSD,Jellis Craig Port Phillip Pty Ltd,2017791111,17566,Jellis Craig Port Phillip,https://www.domain.com.au/real-estate-agencies/jelliscraigportphillip-17566,https://www.domain.com.au/22-greig-street-albert-park-vic-3206-2017791111,
65,Kerferd,Rd,Albert Park,3206,Vic,-37.844545,144.9571827,House,5,3,2,5500000,AUSD,Jellis Craig Port Phillip Pty Ltd,2017791517,17566,Jellis Craig Port Phillip,https://www.domain.com.au/real-estate-agencies/jelliscraigportphillip-17566,https://www.domain.com.au/65-kerferd-road-albert-park-vic-3206-2017791517,
125,Page,St,Albert Park,3206,Vic,-37.8477744,144.9561395,House,3,2,0,,AUSD,Jellis Craig Port Phillip Pty Ltd,2017796822,17566,Jellis Craig Port Phillip,https://www.domain.com.au/real-estate-agencies/jelliscraigportphillip-17566,https://www.domain.com.au/125-page-street-albert-park-vic-3206-2017796822,
12,Canterbury,Rd,Albert Park,,,,,House,2,,,1100000,PTSD,Marshall White Balwyn,0,0,,,https://www.domain.com.au/property-profile/12-canterbury-road-albert-park-vic-3206,
16,Purnell,St,Altona,3018,Vic,-37.8653962,144.8106794,House,7,3,8,,AUPI,Ray White Altona,2017791575,4586,Ray White Altona,https://www.domain.com.au/real-estate-agencies/raywhitealtona-4586,https://www.domain.com.au/16-purnell-street-altona-vic-3018-2017791575,
